"","house_name","name","house_style","house_size","house_direction","house_decorate","house_lift","house_address","house_totalprice","house_unitprice"
"1","龙凤花园隽凤园 ","龙凤花园隽凤园","3室2厅","155.21平米","东南北","精装","有电梯","龙江","659万","42459"
"2","君临国际 ","君临国际","1室1厅","51.45平米","北","精装","有电梯","华侨路","162万","31487"
"3","中海万锦熙岸一期 ","中海万锦熙岸一期","3室2厅","93.67平米","南","其他","有电梯","江浦街道","245万","26156"
"4","江岸水城 ","江岸水城","3室2厅","92平米","南北","精装","有电梯","桥北","195万","21196"
"5","拉德芳斯 ","拉德芳斯","2室2厅","115.3平米","南北","精装","有电梯","奥体","590万","51171"
"6","大明宏苑 ","大明宏苑","3室1厅","92.22平米","南北","精装","有电梯","洪家园","338万","36652"
"7","王府园小区 ","王府园小区","2室1厅","46.33平米","南","简装","无电梯","升州路","260万","56120"
"8","天地新城天心座 ","天地新城天心座","2室2厅","85.88平米","南北","精装","无电梯","岔路口","212万","24686"
"9","江佑铂庭 ","江佑铂庭","3室2厅","92.74平米","南北","精装","有电梯","江浦街道","265万","28575"
"10","九龙雅苑 ","九龙雅苑","4室2厅","163.15平米","南北","简装","有电梯","洪家园","455万","27889"
"11","南航揽翠苑 ","南航揽翠苑","4室2厅","162.66平米","南","精装","有电梯","将军大道","429万","26375"
"12","雅居乐花园 ","雅居乐花园","4室2厅","149.48平米","南北","毛坯","有电梯","秦虹","606万","40541"
"13","天泰青城苑 ","天泰青城苑","2室1厅","71.65平米","南","精装","有电梯","将军大道","208万","29031"
"14","中航樾府 ","中航樾府","3室2厅","85.41平米","南北","精装","有电梯","百家湖","315万","36881"
"15","来凤里 ","来凤里","2室1厅","49.62平米","南北","简装","无电梯","来凤里","153万","30835"
"16","澳丽嘉园 ","澳丽嘉园","2室1厅","45.9平米","西","精装","有电梯","大光路","210万","45752"
"17","雨山美地 ","雨山美地","2室2厅","91.48平米","南北","精装","有电梯","浦口其它","215万","23503"
"18","天华硅谷 ","天华硅谷","3室2厅","89.46平米","南","精装","有电梯","泰山街道","204万","22804"
"19","江南青年城楚襄园 ","江南青年城楚襄园","3室2厅","95.19平米","南北","简装","无电梯","将军大道","220万","23112"
"20","万科金色领域 ","万科金色领域","3室1厅","88.21平米","南北","精装","有电梯","仙林","320万","36278"
"21","天润城第十四街区 ","天润城第十四街区","2室2厅","78.33平米","南北","精装","有电梯","桥北","189.8万","24231"
"22","四条巷32号 ","四条巷32号","3室1厅","70.47平米","南北","简装","无电梯","五老村","270万","38315"
"23","朗诗熙园 ","朗诗熙园","1室0厅","35.79平米","北","其他","有电梯","新街口","132万","36882"
"24","梅花山庄中沁苑 ","梅花山庄中沁苑","2室2厅","74.38平米","南北","精装","无电梯","月牙湖","270万","36301"
"25","九龙雅苑 ","九龙雅苑","3室2厅","118.72平米","南北","简装","无电梯","洪家园","390万","32851"
"26","健园 ","健园","2室1厅","51.35平米","南北","其他","无电梯","南苑","165万","32133"
"27","四方新村四村 ","四方新村四村","3室1厅","82.65平米","南北","精装","无电梯","月牙湖","233万","28192"
"28","苏宁千秋情缘花园 ","苏宁千秋情缘花园","3室2厅","142.31平米","南","简装","有电梯","龙江","645万","45324"
"29","盐仓桥11号 ","盐仓桥11号","3室1厅","70.78平米","东西","简装","无电梯","建宁路","215万","30376"
"30","宝苑新寓 ","宝苑新寓","3室1厅","77.22平米","南北","简装","无电梯","草场门大街","310万","40146"
"31","百水家园 ","百水家园","3室1厅","83.77平米","南北","其他","无电梯","马群","187万","22324"
"32","南京恒大绿洲 ","南京恒大绿洲","2室2厅","90.03平米","南","精装","有电梯","九龙湖","258万","28658"
"33","月苑三村 ","月苑三村","2室1厅","52.56平米","南北","简装","无电梯","月苑","137万","26066"
"34","明月港湾星河湾 ","明月港湾星河湾","2室1厅","88.6平米","南北","精装","无电梯","岔路口","235万","26524"
"35","广博苑 ","广博苑","2室1厅","63.41平米","南","简装","有电梯","东山镇","145万","22868"
"36","沙塘园 ","沙塘园","2室1厅","59.34平米","南北","简装","无电梯","珠江路","366万","61679"
